home,away,market,line,p_over,p_under,bookmaker_odds_over,bookmaker_odds_under,mu_match,mu_home,mu_away,mu_league,alpha_base,alpha_squeeze,alpha_used,p_over_absdiff_5050,gameweek,home_team,away_team
Brentford,Burnley,corners_total,9.5,0.5420616666666667,0.45793833333333334,1.7806860503201762,2.0266763597750947,10.059786446253852,6.28277129888541,3.7770151473684423,9.833333333333334,0.029999999999999995,0.72,0.021599999999999994,0.042061666666666664,13,Brentford,Burnley
Manchester city,Leeds United,corners_total,9.5,0.43789833333333333,0.5621016666666667,2.204259698590553,1.6629722416716934,9.211832457752905,6.269084919528289,2.9427475382246153,9.833333333333334,0.029999999999999995,0.72,0.021599999999999994,0.062101666666666666,13,Manchester city,Leeds United
Sunderland,Bournemouth,corners_total,9.5,0.5278783333333333,0.47212166666666666,1.8285305292822625,1.9680670575662604,9.939272151241983,3.853947685736913,6.08532446550507,9.833333333333334,0.029999999999999995,0.72,0.021599999999999994,0.02787833333333334,13,Sunderland,Bournemouth
Everton,Newcastle,corners_total,10.5,0.4633466666666667,0.5366533333333333,2.0831954078587063,1.7392265614817755,10.39695985587524,4.495106091566148,5.901853764309092,9.833333333333334,0.029999999999999995,0.72,0.021599999999999994,0.036653333333333316,13,Everton,Newcastle
Tottenham,Fulham,corners_total,10.5,0.49777,0.50223,1.939131824430236,1.8542372858847378,10.689268418306474,5.498657192787148,5.190611225519326,9.833333333333334,0.029999999999999995,0.72,0.021599999999999994,0.0022300000000000098,13,Tottenham,Fulham
Crystal palace,Manchester united,corners_total,9.5,0.455645,0.5443549999999999,2.118407199127914,1.7154211558127939,9.339438861654621,4.371113222101189,4.9683256395534325,9.833333333333334,0.029999999999999995,0.72,0.021599999999999994,0.04435499999999998,13,Crystal palace,Manchester united
Nottingham Forest,Brighton & hove albion,corners_total,9.5,0.50541,0.49459,1.9098190543254756,1.8818563581604906,9.745316924324385,4.3207931615513235,5.4245237627730605,9.833333333333334,0.029999999999999995,0.72,0.021599999999999994,0.005410000000000026,13,Nottingham Forest,Brighton & hove albion
Aston villa,Wolverhampton wanderers,corners_total,9.5,0.4962816666666667,0.5037183333333333,1.9449472206575669,1.848950948763681,9.68385626128299,6.117813947503027,3.5660423137799633,9.833333333333334,0.029999999999999995,0.72,0.021599999999999994,0.0037183333333333235,13,Aston villa,Wolverhampton wanderers
West ham united,Liverpool,corners_total,10.5,0.4481366666666667,0.5518633333333334,2.1539001827864386,1.692832404818869,10.265236871101209,3.8135435584243966,6.451693312676813,9.833333333333334,0.029999999999999995,0.72,0.021599999999999994,0.05186333333333332,13,West ham united,Liverpool
Chelsea,Arsenal,corners_total,8.5,0.5421733333333333,0.4578266666666667,1.7803192980964981,2.0271516491879944,9.033446803674332,4.332965825459745,4.700480978214587,9.833333333333334,0.029999999999999995,0.72,0.021599999999999994,0.042173333333333285,13,Chelsea,Arsenal
