home,away,market,line,p_over,p_under,bookmaker_odds_over,bookmaker_odds_under,mu_match,mu_home,mu_away,mu_league,alpha_base,alpha_squeeze,alpha_used,p_over_absdiff_5050,gameweek,home_team,away_team
Brentford,Manchester united,corners_total,10.5,0.45414333333333334,0.5458566666666667,2.1254119072098496,1.7108553069543462,10.317091331621544,4.6444580533176385,5.6726332783039055,9.64,0.029999999999999995,0.72,0.021599999999999994,0.04585666666666666,6,Brentford,Manchester united
Manchester city,Burnley,corners_total,9.5,0.5357066666666667,0.46429333333333334,1.8018100358031237,1.9999898549847945,10.013255490286783,7.009278843200748,3.003976647086035,9.64,0.029999999999999995,0.72,0.021599999999999994,0.035706666666666664,6,Manchester city,Burnley
Crystal palace,Liverpool,corners_total,9.5,0.5561016666666667,0.4438983333333333,1.7357287454871355,2.0882358484531607,10.174665009852227,3.637380107022191,6.537284902830036,9.64,0.029999999999999995,0.72,0.021599999999999994,0.056101666666666716,6,Crystal palace,Liverpool
Chelsea,Brighton & hove albion,corners_total,9.5,0.44592,0.55408,2.1646072126090745,1.6862768841875801,9.272995712858753,5.641023548765493,3.63197216409326,9.64,0.029999999999999995,0.72,0.021599999999999994,0.05408000000000002,6,Chelsea,Brighton & hove albion
Leeds United,Bournemouth,corners_total,9.5,0.4778833333333333,0.5221166666666667,2.0198269764167796,1.7860074210924202,9.517161145608558,3.6743167934492926,5.842844352159265,9.64,0.029999999999999995,0.72,0.021599999999999994,0.022116666666666673,6,Leeds United,Bournemouth
Nottingham Forest,Sunderland,corners_total,9.5,0.5242383333333334,0.47576166666666664,1.8412267605636847,1.9535681994419212,9.909416385028699,5.328338815761581,4.5810775692671175,9.64,0.029999999999999995,0.72,0.021599999999999994,0.02423833333333336,6,Nottingham Forest,Sunderland
Tottenham,Wolverhampton wanderers,corners_total,10.5,0.4678733333333333,0.5321266666666666,2.0630405271654118,1.7535290493110078,10.440394127674153,6.24914349619352,4.191250631480633,9.64,0.029999999999999995,0.72,0.021599999999999994,0.03212666666666669,6,Tottenham,Wolverhampton wanderers
Aston villa,Fulham,corners_total,9.5,0.5066366666666666,0.4933633333333334,1.9051950080859497,1.8863676749810812,9.762015338048856,5.291937696549219,4.470077641499637,9.64,0.029999999999999995,0.72,0.021599999999999994,0.006636666666666624,6,Aston villa,Fulham
Newcastle,Arsenal,corners_total,9.5,0.5171833333333333,0.48281666666666667,1.8663432984692183,1.926066419535674,9.846308204061064,3.965042069197469,5.881266134863594,9.64,0.029999999999999995,0.72,0.021599999999999994,0.017183333333333328,6,Newcastle,Arsenal
Everton,West ham united,corners_total,9.5,0.46771666666666667,0.5322833333333333,2.063731564508368,1.7530301155494872,9.4476289405441,4.970934346936313,4.476694593607786,9.64,0.029999999999999995,0.72,0.021599999999999994,0.03228333333333333,6,Everton,West ham united
